junc.id	all_n40	max
chr12:+:57203287-57203392	0.2	0.2
chr12:+:57203287-57205233	0	0
chr12:+:57204749-57205120	0.025	0.025
chr12:+:57204749-57205141	0	0
chr12:+:57208127-57208710	0.025	0.025
chr12:+:57210480-57210821	0	0
chr12:+:57211818-57211932	0	0
chr12:+:57212261-57212609	0.05	0.05
chr12:+:57489558-57489898	0	0
chr12:+:57490296-57498177	0	0
chr12:+:57490379-57490540	0	0
chr12:+:57490642-57498156	0	0
chr12:+:57490644-57494348	0	0
chr12:+:57494470-57498156	0.025	0.025
chr12:+:57494621-57506965	0.55	0.55
chr12:+:57498273-57498481	0	0
chr12:+:57500522-57504227	0	0
chr12:+:57515014-57515149	0	0
chr12:+:57515058-57515160	0	0
chr12:+:57515991-57516115	0	0
chr12:+:57526015-57526329	0.05	0.05
chr12:+:57527660-57527869	0	0
chr12:+:57528560-57528681	0.025	0.025
chr12:+:57528718-57528868	0.025	0.025
chr12:+:57529325-57529610	0.075	0.075
chr12:+:57529329-57529617	0	0
chr12:+:57529329-57529933	0.125	0.125
chr12:+:57529674-57529935	0	0
chr12:+:57694926-57695785	0	0
chr12:+:57696351-57716482	0	0
chr12:+:57696361-57716492	0	0
chr12:+:57715902-57715962	0	0
chr12:+:57715970-57716045	0	0
chr12:+:57715970-57716411	0.025	0.025
chr12:+:57716193-57717877	0.025	0.025
chr12:+:57718376-57718996	0.025	0.025
chr12:+:57719182-57720100	0.05	0.05
chr12:+:6225534-6232705	0.025	0.025
chr12:+:6233486-6235237	0.025	0.025
chr12:+:6233486-6235246	0	0
chr12:+:6233490-6235249	0.025	0.025
chr12:+:6235327-6235511	0.025	0.025
chr12:+:6236275-6237809	0.025	0.025
chr12:+:6385379-6386071	0.025	0.025
chr12:+:64619697-64620008	0	0
chr12:+:64629244-64684786	0	0
chr12:+:64662350-64662498	0.05	0.05
chr12:+:64685522-64688215	0	0
chr12:+:6536515-6536683	0	0
chr12:+:6536540-6536737	0.025	0.025
chr12:+:6536593-6536737	0	0
chr12:+:6536737-6537871	0.025	0.025
chr12:+:6537010-6537112	0.025	0.025
chr12:+:6537010-6537187	0	0
chr12:+:6537010-6537190	0.025	0.025
chr12:+:6537189-6538100	0.025	0.025
chr12:+:6537351-6537715	0.025	0.025
chr12:+:6537351-6537835	0.025	0.025
chr12:+:6537370-6537616	0	0
chr12:+:6537390-6537616	0.025	0.025
chr12:+:6537390-6537806	0.075	0.075
chr12:+:6537390-6537921	0.075	0.075
chr12:+:6537706-6537838	0.025	0.025
chr12:+:6537821-6537886	0	0
chr12:+:6537838-6537898	0.025	0.025
chr12:+:6537841-6537898	0.025	0.025
chr12:+:6537996-6538164	0.025	0.025
chr12:+:6538131-6538295	0.025	0.025
chr12:+:6766611-6766683	0.025	0.025
chr12:+:6766750-6769620	0.025	0.025
chr12:+:6766750-6769623	0	0
chr12:+:6766750-6769929	0.025	0.025
chr12:+:6766750-6769941	0.05	0.05
chr12:+:6767585-6769602	0	0
chr12:+:6769626-6769926	0.025	0.025
chr12:+:6769626-6769941	0.05	0.05
chr12:+:6769626-6769954	0.025	0.025
chr12:+:6769626-6770171	0.05	0.05
chr12:+:6769626-6770174	0.05	0.05
chr12:+:6769665-6769944	0	0
chr12:+:6769665-6769987	0	0
chr12:+:6769668-6769965	0.025	0.025
chr12:+:6769668-6769981	0.025	0.025
chr12:+:6769674-6769923	0.675	0.675
chr12:+:6769674-6769926	0.025	0.025
chr12:+:6769674-6769941	0.125	0.125
chr12:+:6769674-6769944	0.05	0.05
chr12:+:6769674-6769965	0.025	0.025
chr12:+:6769674-6769974	0.1	0.1
chr12:+:6769674-6769977	0.025	0.025
chr12:+:6769674-6770161	0.075	0.075
chr12:+:6769684-6769948	0.025	0.025
chr12:+:6769684-6769972	0.05	0.05
chr12:+:6769684-6769981	0.025	0.025
chr12:+:6769999-6770168	0.025	0.025
chr12:+:6769999-6770171	0.1	0.1
chr12:+:6769999-6770174	0.15	0.15
chr12:+:6769999-6770186	0	0
chr12:+:6769999-6770391	0.025	0.025
chr12:+:6770438-6770470	0.025	0.025
chr12:+:6814961-6816102	0.025	0.025
chr12:+:6814992-6816133	0	0
chr12:+:6869183-6869269	0	0
chr12:+:6869380-6870561	0.025	0.025
chr12:+:6869773-6870054	0.025	0.025
chr12:+:69239706-69248339	0	0
chr12:+:69239706-69251132	0.025	0.025
chr12:+:69239706-69256696	0	0
chr12:+:69253154-69255959	0.05	0.05
chr12:+:69257761-69258940	0	0
chr12:+:69257809-69258998	0	0
chr12:+:69257905-69258597	0	0
chr12:+:69258145-69258597	0	0
chr12:+:69258666-69258799	0	0
chr12:+:69260197-69262369	1	1
chr12:+:69262562-69269477	0	0
chr12:+:6928384-6933855	0.425	0.425
chr12:+:6928384-6933867	0.125	0.125
chr12:+:6933968-6934300	0.025	0.025
chr12:+:6934313-6934467	0.1	0.1
chr12:+:6934578-6935549	1	1
chr12:+:69353661-69353795	0	0
chr12:+:69353663-69353789	0.025	0.025
chr12:+:6935655-6936572	0	0
chr12:+:6935655-6937308	0.025	0.025
chr12:+:6937465-6937844	0	0
chr12:+:6938067-6938483	0	0
chr12:+:6938355-6938480	0	0
chr12:+:6938816-6939122	0	0
chr12:+:6940503-6940879	0	0
chr12:+:6944582-6944615	0	0
chr12:+:69588262-69588337	0	0
chr12:+:69593103-69593537	0.1	0.1
chr12:+:7061917-7064266	0.025	0.025
chr12:+:7062682-7066600	0.025	0.025
chr12:+:7063067-7064284	0.025	0.025
chr12:+:7064392-7065174	0.075	0.075
chr12:+:7067768-7068455	0.225	0.225
chr12:+:7067775-7068460	0.025	0.025
chr12:+:753114-753729	0	0
chr12:+:775496-776245	0	0
chr12:+:783421-783701	0	0
chr12:+:783421-783839	0.025	0.025
chr12:+:783564-783701	0.075	0.075
chr12:+:783564-783839	0	0
chr12:+:783564-783988	0	0
chr12:+:783701-783988	0	0
chr12:+:783839-783988	0	0
chr12:+:783988-784124	0	0
chr12:+:827262-829061	0	0
chr12:+:827262-829919	0.225	0.225
chr12:+:857249-859258	0	0
chr12:+:861168-871264	0	0
chr12:+:862193-878226	0	0
chr12:+:871348-877087	0	0
chr12:+:871348-878217	0.05	0.05
chr12:+:871348-878256	0.025	0.025
chr12:+:871348-878271	0.075	0.075
chr12:+:880031-881691	0.025	0.025
chr12:+:881789-881921	0.05	0.05
chr12:+:881789-881933	0.025	0.025
chr12:+:883831-884166	0.025	0.025
chr12:+:884243-884663	0.025	0.025
chr12:+:884975-885959	0.075	0.075
chr12:+:887304-889145	0.025	0.025
chr12:+:889223-894561	0	0
chr12:+:897681-907846	0	0
chr12:+:909021-909097	0.025	0.025
chr12:+:93398855-93399180	0.05	0.05
chr12:+:93400413-93400525	0	0
chr12:+:93400654-93400752	0	0
chr12:+:98597140-98597200	0	0
chr12:-:101394892-101394986	0.025	0.025
chr12:-:101396573-101401061	0	0
chr12:-:106238142-106238175	0	0
chr12:-:106238379-106238434	0	0
chr12:-:106239130-106239152	0.025	0.025
chr12:-:106239476-106239782	0	0
chr12:-:10702131-10702411	0.025	0.025
chr12:-:10702131-10704050	0.1	0.1
chr12:-:10702131-10704059	0	0
chr12:-:10702512-10704050	0	0
chr12:-:10708947-10708992	0	0
chr12:-:10715783-10719079	0	0
chr12:-:10718121-10718306	0	0
chr12:-:10719143-10722654	0	0
chr12:-:10723102-10723142	0	0
chr12:-:108652409-108654305	0	0
chr12:-:108653181-108654305	0.1	0.1
chr12:-:110436178-110436556	0	0
chr12:-:110436201-110436556	0.425	0.425
chr12:-:110436201-110436664	0.075	0.075
chr12:-:110493210-110496011	0	0
chr12:-:110496094-110498819	0	0
chr12:-:110496094-110502048	0	0
chr12:-:110496187-110498819	0	0
chr12:-:110496187-110499456	0	0
chr12:-:110497002-110499534	0	0
chr12:-:110722269-110722623	0	0
chr12:-:110724067-110728228	0	0
chr12:-:112405912-112406293	0.05	0.05
chr12:-:112405993-112408596	0.025	0.025
chr12:-:112406016-112406293	0.025	0.025
chr12:-:112406016-112408578	0.025	0.025
chr12:-:112406340-112408283	0.025	0.025
chr12:-:112406813-112408239	0	0
chr12:-:112406868-112408260	0	0
chr12:-:112408329-112408419	0.025	0.025
chr12:-:112408338-112408568	0.025	0.025
chr12:-:112408338-112408578	0.025	0.025
chr12:-:112408462-112408578	0.025	0.025
chr12:-:112408539-112408596	0.025	0.025
chr12:-:112408656-112409049	0.025	0.025
chr12:-:112408656-112409405	0	0
chr12:-:120134381-120137715	0	0
chr12:-:120144448-120144922	0	0
chr12:-:120147272-120149605	0	0
chr12:-:120149713-120149921	0.15	0.15
chr12:-:120151385-120153212	0	0
chr12:-:120156526-120160141	0	0
chr12:-:120156529-120156911	0	0
chr12:-:120156534-120156911	0	0
chr12:-:120158030-120158478	0	0
chr12:-:120160246-120161489	0	0
chr12:-:120162989-120163069	0.025	0.025
chr12:-:120170321-120175161	0	0
chr12:-:120177550-120177672	0	0
chr12:-:120177550-120177683	0.125	0.125
chr12:-:120197374-120197409	0.025	0.025
chr12:-:120197429-120198553	0.025	0.025
chr12:-:120198631-120198894	0	0
chr12:-:120198634-120198853	0	0
chr12:-:120198695-120198894	0.025	0.025
chr12:-:120198699-120198894	0.025	0.025
chr12:-:120198727-120198894	0	0
chr12:-:120198737-120198853	0.025	0.025
chr12:-:120198737-120199117	0	0
chr12:-:120199442-120200718	0.025	0.025
chr12:-:120199485-120201082	0	0
chr12:-:120461984-120462056	0.025	0.025
chr12:-:120464096-120465626	0	0
chr12:-:120464103-120465626	0	0
chr12:-:120464122-120465701	0	0
chr12:-:120464154-120465633	0	0
chr12:-:122316855-122317443	0	0
chr12:-:122334045-122334647	0	0
chr12:-:122334701-122336631	0	0
chr12:-:122337937-122338639	0	0
chr12:-:122341697-122351110	0	0
chr12:-:122341697-122352736	0.025	0.025
chr12:-:122377631-122377756	0	0
chr12:-:122380558-122417326	0.1	0.1
chr12:-:122417463-122422520	0	0
chr12:-:124324728-124324858	0	0
chr12:-:124326265-124327408	0	0
chr12:-:124327633-124328452	0	0
chr12:-:124335632-124336638	0.325	0.325
chr12:-:124337180-124339996	0.325	0.325
chr12:-:124340097-124340204	0.1	0.1
chr12:-:124340097-124340293	0.05	0.05
chr12:-:124341928-124342113	0.025	0.025
chr12:-:124341931-124342113	0	0
chr12:-:124342194-124343004	0	0
chr12:-:124343222-124344596	0	0
chr12:-:124344874-124346563	0	0
chr12:-:124344951-124347824	0	0
chr12:-:124346546-124346621	0	0
chr12:-:124346728-124347824	0	0
chr12:-:124354190-124354477	0.05	0.05
chr12:-:124354196-124354836	0.125	0.125
chr12:-:124355586-124356641	0	0
chr12:-:124356803-124362125	0.65	0.65
chr12:-:124357786-124358186	0	0
chr12:-:124357869-124357918	0.025	0.025
chr12:-:124357869-124357964	0.275	0.275
chr12:-:124357895-124358273	0	0
chr12:-:124358017-124358209	0.05	0.05
chr12:-:124358053-124358142	0.025	0.025
chr12:-:124358053-124358160	0	0
chr12:-:124358079-124358186	0.05	0.05
chr12:-:124358079-124358273	0.025	0.025
chr12:-:124358160-124358247	0	0
chr12:-:124358186-124358273	0	0
chr12:-:124358186-124358366	0.15	0.15
chr12:-:124360993-124361525	0	0
chr12:-:124362294-124363678	0.975	0.975
chr12:-:124362297-124372021	0	0
chr12:-:124362627-124362724	0.025	0.025
chr12:-:124362627-124362972	0	0
chr12:-:124362676-124362823	0	0
chr12:-:124362724-124362972	0.025	0.025
chr12:-:124362749-124362799	0	0
chr12:-:124364884-124365096	0	0
chr12:-:124372044-124372170	0.025	0.025
chr12:-:124372044-124372221	0.025	0.025
chr12:-:124372176-124372557	0.025	0.025
chr12:-:124372443-124372557	0.025	0.025
chr12:-:124378324-124400531	0	0
chr12:-:124378378-124385744	0.05	0.05
chr12:-:124396706-124398118	0	0
chr12:-:124400575-124400611	0.025	0.025
chr12:-:124402558-124419956	0.575	0.575
chr12:-:124409605-124409673	0.025	0.025
chr12:-:124411297-124439090	0.025	0.025
chr12:-:124430781-124437929	0.025	0.025
chr12:-:124430784-124437929	0	0
chr12:-:124437996-124447395	0.025	0.025
chr12:-:124447484-124449814	0.025	0.025
chr12:-:124457156-124472967	0	0
chr12:-:124457159-124466172	0.025	0.025
chr12:-:124457162-124457561	0	0
chr12:-:124466280-124472951	0	0
chr12:-:124495368-124517774	0	0
chr12:-:124495368-124518156	0.025	0.025
chr12:-:124911822-124912050	0	0
chr12:-:124911822-124912506	0.6	0.6
chr12:-:124911822-124912734	0.525	0.525
chr12:-:124911822-124913190	0.15	0.15
chr12:-:124911844-124912528	0.025	0.025
chr12:-:124911844-124912984	0.075	0.075
chr12:-:124911893-124913723	0.025	0.025
chr12:-:124911899-124912583	0.8	0.8
chr12:-:124911899-124913039	0.4	0.4
chr12:-:124911899-124913267	0.6	0.6
chr12:-:124911952-124912408	0.525	0.525
chr12:-:124911952-124912636	0.3	0.3
chr12:-:124911952-124912864	0.025	0.025
chr12:-:124911952-124913092	0.475	0.475
chr12:-:124911952-124913548	0.475	0.475
chr12:-:124912217-124912424	0	0
chr12:-:124912249-124912408	0	0
chr12:-:124912322-124912408	0.025	0.025
chr12:-:124912506-124912734	0.6	0.6
chr12:-:124912583-124913039	0.025	0.025
chr12:-:124912583-124913267	0.95	0.95
chr12:-:124912636-124912864	0.6	0.6
chr12:-:124912636-124913092	0.3	0.3
chr12:-:124912636-124913548	0	0
chr12:-:124912734-124912962	1	1
chr12:-:124912734-124913190	0.4	0.4
chr12:-:124912734-124913418	0.05	0.05
chr12:-:124912756-124913212	0.3	0.3
chr12:-:124912778-124913234	0.1	0.1
chr12:-:124912810-124913267	0.025	0.025
chr12:-:124912864-124913092	0.05	0.05
chr12:-:124912864-124913548	0.1	0.1
chr12:-:124912897-124913267	0.025	0.025
chr12:-:124912962-124913190	1	1
chr12:-:124913039-124913267	0.325	0.325
chr12:-:124913039-124913495	0.6	0.6
chr12:-:124913039-124913723	0.025	0.025
chr12:-:124913092-124913320	0.9	0.9
chr12:-:124913123-124913287	0.025	0.025
chr12:-:124913190-124913418	1	1
chr12:-:124913221-124913287	0	0
chr12:-:124913234-124913462	0.35	0.35
chr12:-:124913267-124913320	0	0
chr12:-:124913267-124913723	1	1
chr12:-:124913320-124913548	1	1
chr12:-:124913418-124913548	0.025	0.025
chr12:-:124913440-124913668	0.125	0.125
chr12:-:124913495-124913723	0.975	0.975
chr12:-:124913585-124913743	0	0
chr12:-:12975119-12975249	0.025	0.025
chr12:-:14882050-14882101	0.025	0.025
chr12:-:14882101-14882209	0.025	0.025
chr12:-:14882997-14885749	0.475	0.475
chr12:-:14883000-14884212	0	0
chr12:-:14883000-14885749	0.175	0.175
chr12:-:14883031-14884212	0.05	0.05
chr12:-:14883031-14885730	0.1	0.1
chr12:-:14883031-14885749	0.025	0.025
chr12:-:14884245-14884595	0	0
chr12:-:14884245-14885498	0.025	0.025
chr12:-:14884245-14885749	0.125	0.125
chr12:-:14942350-14942431	0.025	0.025
chr12:-:14944839-14945075	0	0
chr12:-:14961325-14961381	0	0
chr12:-:26348813-26348893	0	0
chr12:-:26348862-26348942	0	0
chr12:-:26486231-26487067	0	0
chr12:-:26486356-26487067	0.1	0.1
chr12:-:26494216-26495151	0	0
chr12:-:26495260-26510476	0	0
chr12:-:26510631-26550246	0.05	0.05
chr12:-:26602706-26603199	0	0
chr12:-:26622400-26624298	0.025	0.025
chr12:-:26622405-26628032	0	0
chr12:-:26627481-26628032	0	0
chr12:-:26632059-26655707	0.025	0.025
chr12:-:26654035-26655707	0.025	0.025
chr12:-:26654082-26655707	0.1	0.1
chr12:-:26656541-26657706	0.025	0.025
chr12:-:26657842-26657967	0	0
chr12:-:26657919-26658010	0	0
chr12:-:26663869-26665909	0.05	0.05
chr12:-:26666051-26669551	0.1	0.1
chr12:-:26669789-26681873	0.075	0.075
chr12:-:26680723-26681873	0	0
chr12:-:26682673-26684335	0	0
chr12:-:26695650-26699284	0.075	0.075
chr12:-:26695650-26701171	0.025	0.025
chr12:-:26699437-26701171	0	0
chr12:-:26699437-26711172	0.05	0.05
chr12:-:26701231-26711172	0.05	0.05
chr12:-:26711234-26715298	0.025	0.025
chr12:-:26715468-26715751	0	0
chr12:-:26716232-26722448	0.025	0.025
chr12:-:26725734-26790156	0	0
chr12:-:26725765-26770372	0	0
chr12:-:26770569-26790156	0	0
chr12:-:26827285-26827306	0	0
chr12:-:26832517-26832689	0.025	0.025
chr12:-:46185870-46186100	0.025	0.025
chr12:-:46186308-46186358	0	0
chr12:-:46189071-46189574	0	0
chr12:-:46189071-46191516	0	0
chr12:-:46189071-46196724	0.025	0.025
chr12:-:46196258-46197719	0.025	0.025
chr12:-:46196871-46197719	0	0
chr12:-:46196937-46197719	0	0
chr12:-:46197814-46197918	0.025	0.025
chr12:-:46201198-46201659	0.025	0.025
chr12:-:46204377-46204531	0.025	0.025
chr12:-:46221964-46229152	0	0
chr12:-:46229635-46239678	0	0
chr12:-:46239893-46241735	0	0
chr12:-:46241917-46243199	0	0
chr12:-:46243285-46268525	0	0
chr12:-:46243314-46252657	0	0
chr12:-:46243314-46256691	0	0
chr12:-:46243314-46266445	0.05	0.05
chr12:-:46253588-46258179	0	0
chr12:-:46254936-46256691	0.15	0.15
chr12:-:46254936-46266445	0	0
chr12:-:46254936-46268864	0.4	0.4
chr12:-:46256769-46268525	0	0
chr12:-:46256769-46268864	0.025	0.025
chr12:-:46366240-46366863	0	0
chr12:-:48839481-48839867	0	0
chr12:-:48844048-48845573	0	0
chr12:-:48936639-48936675	0.025	0.025
chr12:-:48937905-48937947	0.025	0.025
chr12:-:48938187-48939034	0	0
chr12:-:48939757-48939996	0	0
chr12:-:49005016-49005119	0	0
chr12:-:49128155-49128189	0	0
chr12:-:49128334-49128407	0	0
chr12:-:49128785-49128877	0.025	0.025
chr12:-:49128838-49128922	0.025	0.025
chr12:-:49185105-49185168	0.025	0.025
chr12:-:49185981-49186309	0	0
chr12:-:49186401-49186610	0.05	0.05
chr12:-:49186452-49186610	0	0
chr12:-:52897366-52898809	0.05	0.05
chr12:-:52897618-52898678	0	0
chr12:-:52898519-52898672	0	0
chr12:-:52898692-52898809	0.025	0.025
chr12:-:52898692-52901910	0.025	0.025
chr12:-:52898809-52898884	0.2	0.2
chr12:-:52898809-52901910	0.025	0.025
chr12:-:52898824-52899774	0.025	0.025
chr12:-:52899801-52899924	0.025	0.025
chr12:-:52900062-52900587	0.425	0.425
chr12:-:52901910-52901953	0.1	0.1
chr12:-:52901910-52902031	0	0
chr12:-:52902030-52904657	0.025	0.025
chr12:-:52902057-52904744	0.025	0.025
chr12:-:52902072-52902195	0	0
chr12:-:52904860-52904893	0.025	0.025
chr12:-:53665428-53666634	0	0
chr12:-:53669291-53669870	0.025	0.025
chr12:-:53669339-53669870	0	0
chr12:-:53669942-53672575	0	0
chr12:-:53672631-53676052	0.025	0.025
chr12:-:54232100-54232427	0	0
chr12:-:54235094-54235438	0	0
chr12:-:54241905-54252040	0	0
chr12:-:54246212-54252040	0.075	0.075
chr12:-:54274309-54280007	0	0
chr12:-:54401684-54401775	0	0
chr12:-:55725881-55726135	0.025	0.025
chr12:-:55726759-55726889	0.1	0.1
chr12:-:55726762-55726889	0.15	0.15
chr12:-:55726928-55727228	0.025	0.025
chr12:-:55727297-55728952	0.025	0.025
chr12:-:55728343-55728952	0.05	0.05
chr12:-:55760640-55766979	0	0
chr12:-:55794878-55796024	0	0
chr12:-:55796071-55800561	0	0
chr12:-:55817169-55817665	0	0
chr12:-:56169606-56169636	0	0
chr12:-:56169845-56170143	0.025	0.025
chr12:-:56170206-56171270	0	0
chr12:-:56172701-56172936	0	0
chr12:-:56172701-56173695	0.625	0.625
chr12:-:56178534-56178775	0	0
chr12:-:56183928-56184174	0.25	0.25
chr12:-:56184896-56185029	0.025	0.025
chr12:-:56275095-56275995	0	0
chr12:-:56342103-56342405	0.025	0.025
chr12:-:56342268-56342562	0.025	0.025
chr12:-:56343095-56343173	0.025	0.025
chr12:-:56343235-56343451	0	0
chr12:-:56347202-56348528	0.325	0.325
chr12:-:56347615-56348201	0	0
chr12:-:56349053-56349162	0	0
chr12:-:56349446-56349614	0	0
chr12:-:56349499-56349588	0.075	0.075
chr12:-:56351188-56351291	0	0
chr12:-:56353733-56353870	0.025	0.025
chr12:-:56354611-56354777	0	0
chr12:-:56355348-56355442	0.025	0.025
chr12:-:56638397-56639105	0.025	0.025
chr12:-:56639187-56639210	0	0
chr12:-:56639196-56639979	0.025	0.025
chr12:-:56663930-56663957	0.025	0.025
chr12:-:56664800-56671748	0	0
chr12:-:56665376-56665723	0	0
chr12:-:56673061-56687314	0	0
chr12:-:56673065-56687314	0	0
chr12:-:56688128-56688159	0	0
chr12:-:56712552-56712800	0.025	0.025
chr12:-:56714648-56724461	0	0
chr12:-:56714665-56724447	0.025	0.025
chr12:-:56717053-56717194	0	0
chr12:-:56717700-56717838	0	0
chr12:-:56717700-56717976	0	0
chr12:-:56717769-56717838	0	0
chr12:-:56717769-56717907	0	0
chr12:-:56717838-56717907	0.2	0.2
chr12:-:56717907-56718045	0.025	0.025
chr12:-:56717976-56718045	0.05	0.05
chr12:-:56717976-56718114	0.05	0.05
chr12:-:56717976-56718183	0	0
chr12:-:56718045-56718183	0	0
chr12:-:56718114-56718183	0.05	0.05
chr12:-:56718114-56718321	0	0
chr12:-:56718321-56718603	0.025	0.025
chr12:-:56718534-56718603	0.275	0.275
chr12:-:57095923-57095948	0.025	0.025
chr12:-:57098597-57098793	0	0
chr12:-:57099819-57099995	0.1	0.1
chr12:-:57102921-57104326	0.025	0.025
chr12:-:57103322-57103456	0	0
chr12:-:57103411-57103545	0.05	0.05
chr12:-:57110108-57111128	0	0
chr12:-:57749504-57750922	0	0
chr12:-:57820266-57821042	0.05	0.05
chr12:-:57822588-57822621	0	0
chr12:-:57823727-57823877	0	0
chr12:-:57823727-57824028	0.025	0.025
chr12:-:57826402-57827551	0.025	0.025
chr12:-:57827090-57827551	0.025	0.025
chr12:-:57827127-57827551	0	0
chr12:-:57828393-57829447	0	0
chr12:-:57828418-57829447	0	0
chr12:-:6019358-6019664	0	0
chr12:-:6121323-6123141	0	0
chr12:-:6329899-6330852	0	0
chr12:-:6330702-6330852	0	0
chr12:-:6333813-6334090	0	0
chr12:-:64716813-64720021	0	0
chr12:-:64737102-64739380	0.025	0.025
chr12:-:64740682-64743140	0	0
chr12:-:64752745-64759084	0	0
chr12:-:6492453-6492861	0	0
chr12:-:6492972-6493108	0	0
chr12:-:6573158-6581760	0.025	0.025
chr12:-:6578117-6578514	0	0
chr12:-:6578523-6581343	0	0
chr12:-:6578543-6578845	0.075	0.075
chr12:-:6578897-6581760	0.025	0.025
chr12:-:6579069-6579204	0	0
chr12:-:6581742-6582136	0.025	0.025
chr12:-:6581808-6582136	0.025	0.025
chr12:-:6583105-6583197	0	0
chr12:-:6587775-6587910	0	0
chr12:-:6593224-6593415	0	0
chr12:-:6599922-6600336	0.025	0.025
chr12:-:6600360-6600533	0	0
chr12:-:6600586-6600925	0	0
chr12:-:6601763-6601959	0	0
chr12:-:6602083-6602375	0.025	0.025
chr12:-:6602109-6602375	0.075	0.075
chr12:-:6602143-6602375	0	0
chr12:-:6606451-6606568	0	0
chr12:-:6607213-6607299	0.1	0.1
chr12:-:6748842-6748912	0	0
chr12:-:6967241-6967891	0.025	0.025
chr12:-:6968021-6968470	0.05	0.05
chr12:-:6969532-6970195	0	0
chr12:-:7081128-7081215	0.675	0.675
chr12:-:7088886-7089292	0	0
chr12:-:7471392-7479859	0	0
chr12:-:7479910-7481160	0	0
chr12:-:7482762-7483562	0	0
chr12:-:7488080-7495080	0	0
chr12:-:7495207-7495312	0.025	0.025
chr12:-:7495265-7496812	0.025	0.025
chr12:-:7499052-7501138	0.05	0.05
chr12:-:76048461-76049199	0.125	0.125
chr12:-:76049246-76049772	0.025	0.025
chr12:-:76049772-76053259	0	0
chr12:-:76052400-76053090	0	0
chr12:-:76053350-76053832	0	0
chr12:-:76053907-76055018	0	0
chr12:-:76060194-76060234	0	0
chr12:-:76060270-76067370	0	0
chr12:-:76075198-76075222	0	0
chr12:-:8940610-8940738	0	0
chr12:-:8946405-8949306	0	0
chr12:-:9070570-9072358	0.025	0.025
chr12:-:9072458-9072652	0	0
chr12:-:9072724-9072796	0	0
chr12:-:9074655-9076755	0.025	0.025
chr12:-:9079768-9080093	0.025	0.025
chr12:-:9079812-9080093	0.05	0.05
chr12:-:9089244-9094993	0.025	0.025
chr12:-:9090431-9101191	0.025	0.025
chr12:-:9090477-9091200	0	0
chr12:-:9091410-9093469	0.025	0.025
chr12:-:9091410-9093472	0.025	0.025
chr12:-:9093579-9094985	0	0
chr12:-:9101191-9101487	0.025	0.025
chr12:-:9101509-9101611	0.025	0.025
chr12:-:9104344-9107519	0.025	0.025
chr12:-:9104400-9105348	0	0
chr12:-:9106597-9107523	0.025	0.025
chr12:-:9109950-9110313	0.3	0.3
chr12:-:9109950-9112376	0.025	0.025
chr12:-:91108342-91111397	0	0
chr12:-:9112437-9115892	0	0
chr12:-:9112509-9113452	0	0
chr12:-:91146218-91151653	0.05	0.05
chr12:-:91158413-91158449	0.075	0.075
chr12:-:91178464-91179361	0.025	0.025
chr12:-:91178559-91182654	0.025	0.025
chr12:-:91178585-91178917	0.025	0.025
chr12:-:96013851-96014854	0	0
chr13:+:110313456-110313490	0.075	0.075
chr13:+:110380927-110381128	0	0
chr13:+:110385514-110385634	0	0
chr13:+:110385706-110385778	0	0
chr13:+:110385730-110385802	0	0
chr13:+:110385802-110385850	0.025	0.025
chr13:+:110385874-110385898	0	0
chr13:+:110408868-110409011	0	0
chr13:+:110408973-110409124	0	0
chr13:+:110428539-110429903	0.025	0.025
chr13:+:110428733-110429884	0	0
chr13:+:110432368-110434408	0	0
chr13:+:110434442-110438001	0.025	0.025
chr13:+:110434456-110436283	0.025	0.025
chr13:+:110445882-110446418	0	0
chr13:+:110445882-110450342	0.025	0.025
chr13:+:110445882-110458844	0.025	0.025
chr13:+:110449732-110458881	0.025	0.025
chr13:+:110449759-110462376	0.025	0.025
chr13:+:110449759-110465492	0	0
chr13:+:110456921-110457131	0	0
chr13:+:110457435-110462322	0	0
chr13:+:110458845-110469243	0.05	0.05
chr13:+:110458934-110467059	0.025	0.025
chr13:+:110462340-110465438	0.025	0.025
chr13:+:110465498-110473114	0.05	0.05
chr13:+:110466062-110467048	0.025	0.025
chr13:+:110467069-110478047	0.05	0.05
chr13:+:110467096-110478074	0	0
chr13:+:110467096-110478110	0	0
chr13:+:110473087-110482551	0	0
chr13:+:110473150-110485690	0	0
chr13:+:110478047-110478074	0.075	0.075
chr13:+:110478155-110485681	0	0
chr13:+:110482623-110491232	0.075	0.075
chr13:+:110484992-110485712	0.025	0.025
chr13:+:110485027-110485663	0.025	0.025
chr13:+:110485765-110485819	0.025	0.025
chr13:+:110485765-110489454	0.05	0.05
chr13:+:110489472-110489749	0	0
chr13:+:110491313-110495374	0.05	0.05
chr13:+:110491340-110492078	0.025	0.025
chr13:+:110491340-110495365	0.025	0.025
chr13:+:110493112-110493142	0.025	0.025
chr13:+:110493246-110495365	0.025	0.025
chr13:+:110495374-110495422	0.025	0.025
chr13:+:110495422-110503201	0.025	0.025
chr13:+:110495467-110503201	0.025	0.025
chr13:+:110495467-110503210	0.025	0.025
chr13:+:110495467-110504165	0	0
chr13:+:110496649-110496821	0	0
chr13:+:110496735-110496821	0	0
chr13:+:110497244-110497286	0.025	0.025
chr13:+:110497371-110497457	0.025	0.025
chr13:+:110497457-110497543	0	0
chr13:+:110497457-110497629	0	0
chr13:+:110497457-110497715	0	0
chr13:+:110497500-110497586	0.05	0.05
chr13:+:110501748-110503846	0	0
