chr	source	start	end	strand	enst	symbol	ensg
4	ensembl_havana	56978896	57031158	+	ENST00000314595	POLR2B	ENSG00000047315
4	ensembl_havana	57030773	57110385	-	ENST00000295666	IGFBP7	ENSG00000163453
4	ensembl_havana	121667946	121696980	-	ENST00000296511	ANXA5	ENSG00000164111
4	ensembl_havana	70655541	70666508	-	ENST00000254801	JCHAIN	ENSG00000132465
4	ensembl_havana	77047155	77075989	-	ENST00000237654	CCNI	ENSG00000118816
4	ensembl_havana	39454124	39458922	-	ENST00000295955	RPL9	ENSG00000163682
4	havana	105895471	105971671	+	ENST00000379987	NPNT	ENSG00000168743
4	ensembl_havana	55395957	55426175	+	ENST00000381334	TMEM165	ENSG00000134851
4	ensembl_havana	75724577	75814286	+	ENST00000514213	USO1	ENSG00000138768
4	ensembl_havana	8269754	8307098	+	ENST00000307358	HTRA3	ENSG00000170801
4	havana	48831084	48851945	+	ENST00000511102	OCIAD1	ENSG00000109180
4	ensembl_havana	76949752	77038615	+	ENST00000264893	SEPTIN11	ENSG00000138758
4	ensembl_havana	75644389	75673401	-	ENST00000357854	G3BP2	ENSG00000138757
4	havana	108620576	108625370	+	ENST00000394667	RPL34	ENSG00000109475
4	havana	108620569	108625554	+	ENST00000502534	RPL34	ENSG00000109475
4	havana	108620590	108625255	+	ENST00000394665	RPL34	ENSG00000109475
4	ensembl_havana	87473335	87529376	-	ENST00000282470	SPARCL1	ENSG00000152583
4	havana	102797264	102827849	-	ENST00000349311	UBE2D3	ENSG00000109332
4	havana	139665819	139704243	+	ENST00000265498	MGST2	ENSG00000085871
4	ensembl_havana	76001275	76007509	-	ENST00000264888	CXCL9	ENSG00000138755
4	ensembl_havana	76021118	76023497	-	ENST00000306602	CXCL10	ENSG00000169245
4	havana	87975714	87981991	+	ENST00000682655	SPP1	ENSG00000118785
4	ensembl_havana	87975714	87982896	+	ENST00000508233	SPP1	ENSG00000118785
4	ensembl_havana	87975714	87983411	+	ENST00000395080	SPP1	ENSG00000118785
4	ensembl_havana	6693878	6697170	+	ENST00000296370	S100P	ENSG00000163993
4	ensembl_havana	6707701	6709865	-	ENST00000320848	MRFAP1L1	ENSG00000178988
4	havana	119296419	119300645	-	ENST00000504110	C4orf3	ENSG00000164096
4	ensembl_havana	6640685	6642729	+	ENST00000382581	MRFAP1	ENSG00000179010
4	havana	3512933	3532149	-	ENST00000296325	LRPAP1	ENSG00000163956
4	havana	3523393	3532446	-	ENST00000650633	LRPAP1	ENSG00000163956
4	ensembl_havana	76158737	76213824	-	ENST00000264896	SCARB2	ENSG00000138760
4	ensembl_havana	672436	674276	-	ENST00000304312	ATP5ME	ENSG00000169020
4	ensembl_havana	165379008	165498547	+	ENST00000402744	CPE	ENSG00000109472
4	ensembl_havana	186587794	186723856	-	ENST00000441802	FAT1	ENSG00000083857
4	havana	17577495	17607934	+	ENST00000606142	LAP3	ENSG00000002549
4	havana	2875896	2930076	+	ENST00000398129	ADD1	ENSG00000087274
4	havana	10074339	10116799	-	ENST00000499869	WDR1	ENSG00000071127
4	havana	1211445	1249130	-	ENST00000382952	CTBP1	ENSG00000159692
4	ensembl_havana	140620782	140756385	-	ENST00000442267	TBC1D9	ENSG00000109436
4	ensembl_havana	2469106	2515857	+	ENST00000314289	RNF4	ENSG00000063978
4	ensembl_havana	56467617	56502415	+	ENST00000510663	SRP72	ENSG00000174780
4	ensembl_havana	82353829	82373986	-	ENST00000353341	HNRNPD	ENSG00000138668
4	havana	82356554	82373150	-	ENST00000509263	HNRNPD	ENSG00000138668
4	havana	82424625	82429397	-	ENST00000507721	HNRNPDL	ENSG00000152795
4	havana	82424629	82429441	-	ENST00000602300	HNRNPDL	ENSG00000152795
4	ensembl_havana	168832028	168928445	+	ENST00000507735	PALLD	ENSG00000129116
4	ensembl_havana	39822863	39977911	-	ENST00000303538	PDS5A	ENSG00000121892
5	ensembl_havana	1798385	1799837	-	ENST00000505059	MRPL36	ENSG00000171421
5	ensembl_havana	32354350	32444740	-	ENST00000265069	ZFR	ENSG00000056097
5	ensembl_havana	74685233	74721288	+	ENST00000261416	HEXB	ENSG00000049860
5	ensembl_havana	83471744	83582302	+	ENST00000265077	VCAN	ENSG00000038427
5	havana	83471777	83539684	+	ENST00000513960	VCAN	ENSG00000038427
5	havana	83553362	83580400	+	ENST00000505615	VCAN	ENSG00000038427
5	ensembl	83471674	83582303	+	ENST00000343200	VCAN	ENSG00000038427
5	havana	32585588	32601150	+	ENST00000502897	SUB1	ENSG00000113387
5	ensembl_havana	32124716	32174319	-	ENST00000265070	GOLPH3	ENSG00000113384
5	ensembl_havana	86617941	86620962	+	ENST00000247655	COX7C	ENSG00000127184
5	havana	86617928	86620766	+	ENST00000511472	COX7C	ENSG00000127184
5	havana	42799880	42811892	-	ENST00000514985	SELENOP	ENSG00000250722
5	havana	42800819	42811892	-	ENST00000507920	SELENOP	ENSG00000250722
5	ensembl_havana	53560639	53683338	+	ENST00000296684	NDUFS4	ENSG00000164258
5	havana	109334722	109409974	-	ENST00000361189	PJA2	ENSG00000198961
5	ensembl_havana	115841935	115914081	+	ENST00000316788	AP3S1	ENSG00000177879
5	ensembl_havana	136028988	136063818	+	ENST00000442011	TGFBI	ENSG00000120708
5	ensembl_havana	138753425	138935034	+	ENST00000302763	CTNNA1	ENSG00000044115
5	ensembl_havana	168548495	168579368	-	ENST00000239231	PANK3	ENSG00000120137
5	havana	132891817	132963618	-	ENST00000378595	AFF4	ENSG00000072364
5	ensembl_havana	123023250	123036725	-	ENST00000306442	PPIC	ENSG00000168938
5	ensembl_havana	142108779	142154440	+	ENST00000253814	NDFIP1	ENSG00000131507
5	ensembl_havana	168486471	168519301	+	ENST00000231572	RARS1	ENSG00000113643
5	havana	138506095	138543236	-	ENST00000360541	ETF1	ENSG00000120705
5	ensembl_havana	150508131	150558211	+	ENST00000261797	NDST1	ENSG00000070614
5	ensembl_havana	179955067	180071759	-	ENST00000521389	RNF130	ENSG00000113269
5	ensembl_havana	179820905	179838078	+	ENST00000389805	SQSTM1	ENSG00000161011
5	havana	179822485	179837255	+	ENST00000360718	SQSTM1	ENSG00000161011
5	havana	154287470	154376367	+	ENST00000519571	GALNT10	ENSG00000164574
5	ensembl_havana	150113839	150155845	-	ENST00000261799	PDGFRB	ENSG00000113721
5	havana	139293730	139329760	+	ENST00000510056	MATR3	ENSG00000015479
5	ensembl_havana	139341854	139369717	+	ENST00000265192	PAIP2	ENSG00000120727
5	ensembl_havana	1801407	1816048	+	ENST00000274137	NDUFS6	ENSG00000145494
5	ensembl_havana	131159027	131165256	-	ENST00000304043	HINT1	ENSG00000169567
5	havana	140645285	140647630	-	ENST00000252102	NDUFA2	ENSG00000131495
5	ensembl_havana	140700447	140706686	+	ENST00000274712	ZMAT2	ENSG00000146007
5	ensembl_havana	140245035	140303101	-	ENST00000261813	PFDN1	ENSG00000113068
5	ensembl_havana	112876385	112922227	-	ENST00000379638	REEP5	ENSG00000129625
5	ensembl	180790548	180810137	-	ENST00000393340	MGAT1	ENSG00000131446
5	ensembl_havana	157787405	157859143	-	ENST00000523908	CLINT1	ENSG00000113282
5	ensembl_havana	33440965	33468086	+	ENST00000265112	TARS1	ENSG00000113407
5	havana	138555219	138575421	-	ENST00000678551	HSPA9	ENSG00000113013
5	havana	138556407	138575431	-	ENST00000507115	HSPA9	ENSG00000113013
5	ensembl_havana	151742822	151758631	-	ENST00000313115	ATOX1	ENSG00000177556
5	ensembl_havana	171387849	171410900	+	ENST00000296930	NPM1	ENSG00000181163
5	havana	151771894	151804218	+	ENST00000678070	G3BP1	ENSG00000145907
5	havana	151771954	151795562	+	ENST00000507878	G3BP1	ENSG00000145907
5	ensembl_havana	179862071	179907897	-	ENST00000355235	TBC1D9B	ENSG00000197226
5	havana	179698417	179728907	+	ENST00000504734	CANX	ENSG00000127022
5	havana	179698906	179730925	+	ENST00000452673	CANX	ENSG00000127022
5	havana	179698939	179708622	+	ENST00000502498	CANX	ENSG00000127022
5	ensembl_havana	179698988	179728682	+	ENST00000514032	CANX	ENSG00000127022
5	havana	179726705	179729649	+	ENST00000503303	CANX	ENSG00000127022
5	havana	150442635	150449739	-	ENST00000407193	RPS14	ENSG00000164587
5	havana	150444233	150448913	-	ENST00000521466	RPS14	ENSG00000164587
5	ensembl_havana	138352685	138437027	+	ENST00000314358	KDM3B	ENSG00000120733
5	ensembl_havana	82275244	82278351	-	ENST00000512493	RPS23	ENSG00000186468
5	havana	82275421	82278396	-	ENST00000510019	RPS23	ENSG00000186468
5	havana	82276060	82277951	-	ENST00000504293	RPS23	ENSG00000186468
5	ensembl_havana	58453982	58460086	-	ENST00000274289	PLK2	ENSG00000145632
5	ensembl_havana	181236897	181243906	-	ENST00000512805	RACK1	ENSG00000204628
5	havana	181241443	181243903	-	ENST00000508963	RACK1	ENSG00000204628
5	ensembl_havana	271646	314974	+	ENST00000264933	PDCD6	ENSG00000249915
5	ensembl_havana	177303799	177306949	+	ENST00000303204	PRELID1	ENSG00000169230
5	ensembl_havana	1050384	1112063	-	ENST00000264930	SLC12A7	ENSG00000113504
5	havana	132866630	132867687	+	ENST00000378667	UQCRQ	ENSG00000164405
5	ensembl_havana	133052013	133106449	+	ENST00000304858	HSPA4	ENSG00000170606
5	havana	141515021	141619000	-	ENST00000389054	DIAPH1	ENSG00000131504
5	havana	73498408	73505495	+	ENST00000335895	BTF3	ENSG00000145741
5	ensembl_havana	177456608	177473741	-	ENST00000309007	DBN1	ENSG00000113758
5	ensembl_havana	141318490	141320784	-	ENST00000313368	TAF7	ENSG00000178913
5	ensembl_havana	140647829	140662480	+	ENST00000417647	IK	ENSG00000113141
5	ensembl_havana	172983771	173035445	+	ENST00000519374	ATP6V0E1	ENSG00000113732
5	havana	172983816	173034892	+	ENST00000265093	ATP6V0E1	ENSG00000113732
5	ensembl_havana	172834251	172952683	+	ENST00000393784	ERGIC1	ENSG00000113719
5	havana	74767263	74771653	+	ENST00000513356	NSA2	ENSG00000164346
5	ensembl_havana	150401639	150412910	-	ENST00000009530	CD74	ENSG00000019582
5	ensembl_havana	150401637	150412769	-	ENST00000377795	CD74	ENSG00000019582
5	ensembl_havana	150401670	150412750	-	ENST00000353334	CD74	ENSG00000019582
5	havana	154755377	154817605	+	ENST00000518297	LARP1	ENSG00000155506
5	ensembl_havana	177331567	177351668	-	ENST00000303127	LMAN2	ENSG00000169223
5	havana	40832458	40835186	-	ENST00000504562	RPL37	ENSG00000145592
5	havana	40833879	40835212	-	ENST00000508493	RPL37	ENSG00000145592
5	ensembl_havana	176388751	176389761	+	ENST00000274787	HIGD2A	ENSG00000146066
5	ensembl_havana	176392501	176416539	-	ENST00000345807	CLTB	ENSG00000175416
5	ensembl_havana	177592203	177597242	+	ENST00000332598	TMED9	ENSG00000184840
5	havana	177592488	177595577	+	ENST00000513799	TMED9	ENSG00000184840
5	ensembl_havana	178204533	178211163	+	ENST00000358344	HNRNPAB	ENSG00000197451
5	ensembl_havana	178149463	178153885	-	ENST00000274606	NHP2	ENSG00000145912
5	havana	151020591	151028988	+	ENST00000388825	GPX3	ENSG00000211445
5	ensembl_havana	151253185	151270440	+	ENST00000357164	GM2A	ENSG00000196743
5	ensembl_havana	77691166	77776339	-	ENST00000380377	TBCA	ENSG00000171530
5	havana	55941028	55994964	-	ENST00000502326	IL6ST	ENSG00000134352
5	havana	135570679	135578991	-	ENST00000512158	CXCL14	ENSG00000145824
5	ensembl_havana	151101109	151141640	-	ENST00000523714	ANXA6	ENSG00000197043
5	havana	151101124	151157815	-	ENST00000700367	ANXA6	ENSG00000197043
5	ensembl_havana	1317752	1345099	-	ENST00000320895	CLPTM1L	ENSG00000049656
5	ensembl_havana	1461427	1523960	-	ENST00000283415	LPCAT1	ENSG00000153395
5	havana	134157941	134176950	-	ENST00000328392	SKP1	ENSG00000113558
5	havana	134157088	134225861	-	ENST00000519718	ENSG00000272772	ENSG00000272772
5	havana	134203525	134226073	-	ENST00000231504	PPP2CA	ENSG00000113575
5	ensembl_havana	135334381	135399231	-	ENST00000511689	MACROH2A1	ENSG00000113648
5	havana	135350814	135399204	-	ENST00000507868	MACROH2A1	ENSG00000113648
5	havana	135360416	135370146	-	ENST00000504197	MACROH2A1	ENSG00000113648
5	havana	10249929	10265078	+	ENST00000503026	CCT5	ENSG00000150753
5	havana	10250309	10255030	+	ENST00000508451	CCT5	ENSG00000150753
5	ensembl_havana	133955510	133968625	-	ENST00000231512	C5orf15	ENSG00000113583
5	havana	133971915	134004742	-	ENST00000395044	VDAC1	ENSG00000213585
5	ensembl_havana	133971952	134004842	-	ENST00000395047	VDAC1	ENSG00000213585
5	havana	149495785	149551404	-	ENST00000515768	CSNK1A1	ENSG00000113712
5	havana	149513207	149551381	-	ENST00000670598	CSNK1A1	ENSG00000113712
5	ensembl_havana	10679230	10761234	-	ENST00000230895	DAP	ENSG00000112977
5	ensembl_havana	151661096	151686915	-	ENST00000231061	SPARC	ENSG00000113140
5	havana	151662488	151667654	-	ENST00000520687	SPARC	ENSG00000113140
5	havana	151666477	151686968	-	ENST00000521569	SPARC	ENSG00000113140
5	havana	151671573	151685230	-	ENST00000539687	SPARC	ENSG00000113140
5	havana	151672597	151686975	-	ENST00000521327	SPARC	ENSG00000113140
5	havana	179614179	179618899	-	ENST00000502904	HNRNPH1	ENSG00000169045
5	havana	179614180	179620032	-	ENST00000515481	HNRNPH1	ENSG00000169045
5	havana	179614180	179623671	-	ENST00000514332	HNRNPH1	ENSG00000169045
5	havana	179616158	179618515	-	ENST00000504549	HNRNPH1	ENSG00000169045
5	havana	179616869	179620959	-	ENST00000521173	HNRNPH1	ENSG00000169045
5	havana	179618144	179619708	-	ENST00000520415	HNRNPH1	ENSG00000169045
5	havana	179619101	179621370	-	ENST00000522958	HNRNPH1	ENSG00000169045
5	havana	179619273	179621511	-	ENST00000521790	HNRNPH1	ENSG00000169045
5	havana	179620733	179621686	-	ENST00000519943	HNRNPH1	ENSG00000169045
5	havana	179622952	179623670	-	ENST00000513230	HNRNPH1	ENSG00000169045
6	ensembl_havana	7881517	7910788	-	ENST00000379757	TXNDC5	ENSG00000239264
6	havana	18225666	18264267	-	ENST00000652576	DEK	ENSG00000124795
6	havana	7289676	7313182	-	ENST00000479365	SSR1	ENSG00000124783
6	havana	21593751	21598619	+	ENST00000244745	SOX4	ENSG00000124766
6	havana	4773041	4892347	+	ENST00000483019	CDYL	ENSG00000153046
6	ensembl_havana	37819727	38154624	+	ENST00000287218	ZFAND3	ENSG00000156639
6	ensembl_havana	36443000	36491141	+	ENST00000373731	KCTD20	ENSG00000112078
6	havana	33697568	33711727	-	ENST00000374214	UQCC2	ENSG00000137288
6	ensembl_havana	36493892	36547479	-	ENST00000229812	STK38	ENSG00000112079
6	ensembl_havana	53267404	53348950	-	ENST00000304434	ELOVL5	ENSG00000012660
6	havana	44219615	44234142	+	ENST00000393844	SLC29A1	ENSG00000112759
6	havana	36594367	36597189	+	ENST00000620242	SRSF3	ENSG00000112081
6	havana	36594391	36602040	+	ENST00000477442	SRSF3	ENSG00000112081
6	havana	106971360	106975459	-	ENST00000619869	CD24	ENSG00000272398
6	ensembl_havana	106969831	106974729	-	ENST00000606017	CD24	ENSG00000272398
6	havana	44247101	44253883	+	ENST00000371646	HSP90AB1	ENSG00000096384
6	ensembl_havana	89326625	89352722	-	ENST00000435041	UBE2J1	ENSG00000198833
6	ensembl_havana	139028745	139043302	+	ENST00000367660	ABRACL	ENSG00000146386
6	havana	113940718	113971157	-	ENST00000368632	HDAC2	ENSG00000196591
6	ensembl	136269264	136289851	-	ENST00000628517	BCLAF1	ENSG00000029363
6	havana	116125339	116158747	-	ENST00000418500	COL10A1	ENSG00000123500
6	ensembl_havana	113857345	113863475	+	ENST00000612661	MARCKS	ENSG00000277443
6	ensembl_havana	132814569	132817564	+	ENST00000230050	RPS12	ENSG00000112306
6	ensembl_havana	158636474	158644743	-	ENST00000367089	DYNLT1	ENSG00000146425
6	havana	163415170	163570747	+	ENST00000361195	QKI	ENSG00000112531
6	ensembl_havana	89080751	89085160	+	ENST00000336032	PNRC1	ENSG00000146278
6	ensembl_havana	170535120	170553307	-	ENST00000262193	PSMB1	ENSG00000008018
6	havana	158232236	158312662	+	ENST00000620026	TULP4	ENSG00000130338
6	ensembl_havana	38675925	38703145	-	ENST00000373365	GLO1	ENSG00000124767
6	ensembl_havana	116274858	116279930	-	ENST00000368608	TSPYL1	ENSG00000189241
6	ensembl_havana	29555515	29559732	-	ENST00000377050	UBD	ENSG00000213886
6	ensembl	29723340	29726525	+	ENST00000334668	HLA-F	ENSG00000204642
6	havana	10723070	10731127	+	ENST00000229563	TMEM14C	ENSG00000111843
6	ensembl_havana	10747805	10756981	+	ENST00000379542	TMEM14B	ENSG00000137210
6	ensembl_havana	159778498	159789602	-	ENST00000321394	TCP1	ENSG00000120438
6	ensembl_havana	159778987	159789703	-	ENST00000392168	TCP1	ENSG00000120438
6	ensembl_havana	159790467	159798429	+	ENST00000367034	MRPL18	ENSG00000112110
6	ensembl_havana	42879616	42889900	+	ENST00000493763	RPL7L1	ENSG00000146223
6	havana	43012082	43013983	-	ENST00000643776	MEA1	ENSG00000124733
6	ensembl_havana	43021623	43029599	+	ENST00000244496	RRP36	ENSG00000124541
6	ensembl_havana	43225629	43229481	-	ENST00000230431	DNPH1	ENSG00000112667
6	ensembl_havana	110958706	110967872	+	ENST00000329970	GTF3C6	ENSG00000155115
6	havana	35573590	35688915	-	ENST00000357266	FKBP5	ENSG00000096060
6	ensembl_havana	26020451	26020958	+	ENST00000613854	H3C1	ENSG00000275714
6	ensembl_havana	26021649	26022050	+	ENST00000617569	H4C1	ENSG00000278637
6	ensembl_havana	26031589	26032099	-	ENST00000621411	H3C2	ENSG00000286522
6	ensembl_havana	26033092	26033618	-	ENST00000615868	H2AC4	ENSG00000278463
6	havana	26043227	26043713	-	ENST00000615966	H2BC3	ENSG00000276410
6	ensembl_havana	26045384	26045869	+	ENST00000612966	H3C3	ENSG00000287080
6	havana	26055740	26056470	-	ENST00000343677	H1-2	ENSG00000187837
6	ensembl_havana	26156329	26157115	+	ENST00000304218	H1-4	ENSG00000168298
6	ensembl_havana	26183761	26184230	+	ENST00000614097	H2BC6	ENSG00000274290
6	ensembl_havana	26188710	26189112	-	ENST00000614247	H4C4	ENSG00000277157
6	havana	31530219	31531744	-	ENST00000474961	DDX39B	ENSG00000198563
6	havana	31530219	31542017	-	ENST00000462256	DDX39B	ENSG00000198563
6	ensembl_havana	31530226	31542003	-	ENST00000396172	DDX39B	ENSG00000198563
6	ensembl_havana	31615234	31617015	+	ENST00000376059	AIF1	ENSG00000204472
6	ensembl_havana	32934636	32941028	-	ENST00000418107	HLA-DMB	ENSG00000242574
6	ensembl_havana	32948618	32953097	-	ENST00000374843	HLA-DMA	ENSG00000204257
6	ensembl_havana	44113451	44127452	-	ENST00000372014	MRPL14	ENSG00000180992
6	ensembl_havana	43511832	43516926	-	ENST00000372422	YIPF3	ENSG00000137207
6	havana	43624614	43625864	-	ENST00000480263	GTPBP2	ENSG00000172432
6	havana	73517515	73520214	-	ENST00000678508	EEF1A1	ENSG00000156508
6	havana	73517515	73521032	-	ENST00000678515	EEF1A1	ENSG00000156508
6	havana	73517519	73521031	-	ENST00000488500	EEF1A1	ENSG00000156508
6	havana	73517521	73521032	-	ENST00000495333	EEF1A1	ENSG00000156508
6	havana	73517522	73521032	-	ENST00000678703	EEF1A1	ENSG00000156508
6	ensembl_havana	31815543	31817942	+	ENST00000375651	HSPA1A	ENSG00000204389
6	ensembl_havana	31827738	31830254	+	ENST00000375650	HSPA1B	ENSG00000204388
6	havana	31666080	31670067	+	ENST00000375882	CSNK2B	ENSG00000204435
6	ensembl_havana	30489509	30494194	+	ENST00000376630	HLA-E	ENSG00000204592
6	ensembl_havana	30600413	30617243	-	ENST00000376511	PPP1R10	ENSG00000204569
6	havana	30609947	30617244	-	ENST00000484449	PPP1R10	ENSG00000204569
6	havana	30616584	30618612	-	ENST00000473954	PPP1R10	ENSG00000204569
6	ensembl_havana	30617840	30626392	+	ENST00000259873	MRPS18B	ENSG00000204568
6	havana	41787662	41789898	+	ENST00000398884	TOMM6	ENSG00000214736
6	ensembl_havana	41787694	41789895	+	ENST00000398881	TOMM6	ENSG00000214736
6	ensembl_havana	13615335	13621712	+	ENST00000451315	NOL7	ENSG00000225921
6	ensembl_havana	13621498	13711835	-	ENST00000011619	RANBP9	ENSG00000010017
6	ensembl_havana	37482938	37499893	-	ENST00000373408	CCDC167	ENSG00000198937
6	ensembl_havana	32854192	32859851	+	ENST00000374859	PSMB9	ENSG00000240065
6	ensembl_havana	87674860	87702233	-	ENST00000257787	AKIRIN2	ENSG00000135334
6	havana	27865317	27865798	+	ENST00000613174	H2AC16	ENSG00000276903
6	havana	27866792	27867588	-	ENST00000331442	H1-5	ENSG00000184357
6	ensembl_havana	27871845	27872346	-	ENST00000616365	H3C11	ENSG00000275379
6	havana	27873148	27873534	-	ENST00000618305	H4C13	ENSG00000275126
6	ensembl_havana	27890315	27890826	-	ENST00000359303	H3C12	ENSG00000197153
6	ensembl_havana	27892699	27893185	-	ENST00000359611	H2AC17	ENSG00000278677
6	ensembl_havana	27893425	27893891	+	ENST00000616182	H2BC17	ENSG00000274641
6	ensembl_havana	30067198	30070333	+	ENST00000376772	PPP1R11	ENSG00000204619
6	ensembl_havana	32115264	32128246	-	ENST00000375203	ATF6B	ENSG00000213676
6	ensembl_havana	32168212	32176084	-	ENST00000375107	AGPAT1	ENSG00000204310
6	ensembl_havana	32178405	32180793	+	ENST00000375094	RNF5	ENSG00000204308
6	ensembl_havana	32184733	32190202	-	ENST00000375050	PBX2	ENSG00000204304
6	ensembl_havana	32439887	32445046	+	ENST00000395388	HLA-DRA	ENSG00000204287
6	ensembl_havana	30676389	30686645	-	ENST00000274853	PPP1R18	ENSG00000146112
6	ensembl_havana	30720352	30725422	+	ENST00000327892	TUBB	ENSG00000196230
6	ensembl_havana	30727709	30742687	-	ENST00000376389	FLOT1	ENSG00000137312
6	ensembl_havana	30743199	30744547	-	ENST00000259874	IER3	ENSG00000137331
6	ensembl_havana	75084326	75206053	-	ENST00000322507	COL12A1	ENSG00000111799
6	ensembl_havana	75252924	75284792	-	ENST00000230461	TMEM30A	ENSG00000112697
6	ensembl_havana	35468401	35470780	+	ENST00000322203	RPL10A	ENSG00000198755
6	havana	35468408	35470785	+	ENST00000467020	RPL10A	ENSG00000198755
6	ensembl_havana	99399964	99425331	-	ENST00000438806	PNISR	ENSG00000132424
6	ensembl_havana	32014795	32035418	+	ENST00000435363	C4B	ENSG00000224389
6	havana	26124172	26124690	+	ENST00000377791	H2AC6	ENSG00000180573
6	ensembl_havana	26196784	26197286	-	ENST00000356476	H3C4	ENSG00000197409
6	havana	26198784	26199293	-	ENST00000341023	H2AC7	ENSG00000196866
6	ensembl_havana	26234212	26234987	-	ENST00000244534	H1-3	ENSG00000124575
6	ensembl_havana	26240393	26240793	+	ENST00000244537	H4C6	ENSG00000274618
6	ensembl_havana	26250142	26250635	-	ENST00000618052	H3C7	ENSG00000277775
6	ensembl_havana	26272931	26273412	+	ENST00000377733	H2BC10	ENSG00000278588
6	ensembl_havana	169215785	169253846	-	ENST00000617924	THBS2	ENSG00000186340
6	havana	26103933	26104337	+	ENST00000377803	H4C3	ENSG00000197061
6	ensembl_havana	131948176	131951372	-	ENST00000367976	CCN2	ENSG00000118523
6	havana	33080443	33085231	+	ENST00000498038	HLA-DPB1	ENSG00000223865
6	ensembl_havana	33272075	33276511	+	ENST00000439602	RPS18	ENSG00000231500
6	ensembl	33289597	33290934	+	ENST00000374607	PFDN6	ENSG00000204220
6	havana	33295687	33297986	-	ENST00000478610	RGL2	ENSG00000237441
6	havana	33416550	33417931	-	ENST00000607266	CUTA	ENSG00000112514
6	ensembl_havana	7541671	7586714	+	ENST00000379802	DSP	ENSG00000096696
6	ensembl_havana	26285126	26285534	-	ENST00000377727	H4C8	ENSG00000158406
6	havana	30884519	30900156	+	ENST00000376568	DDR1	ENSG00000204580
6	ensembl	30884550	30900152	+	ENST00000452441	DDR1	ENSG00000204580
6	havana	27814302	27814777	-	ENST00000333151	H2AC14	ENSG00000276368
6	ensembl_havana	27815022	27815489	+	ENST00000621112	H2BC14	ENSG00000273703
6	ensembl_havana	27824092	27824480	+	ENST00000355057	H4C11	ENSG00000197238
6	havana	27831174	27831560	-	ENST00000611927	H4C12	ENSG00000273542
6	ensembl_havana	27810051	27810536	+	ENST00000685041	H3C10	ENSG00000278828
6	ensembl_havana	31268749	31272092	-	ENST00000376228	HLA-C	ENSG00000204525
6	havana	33064569	33073649	-	ENST00000692443	HLA-DPA1	ENSG00000231389
6	havana	33069019	33080767	-	ENST00000453337	HLA-DPA1	ENSG00000231389
6	havana	33069104	33080755	-	ENST00000476642	HLA-DPA1	ENSG00000231389
6	ensembl_havana	32517353	32530287	-	ENST00000374975	HLA-DRB5	ENSG00000198502
6	havana	32637406	32642981	+	ENST00000496318	HLA-DQA1	ENSG00000196735
6	ensembl_havana	32637406	32643684	+	ENST00000343139	HLA-DQA1	ENSG00000196735
6	ensembl_havana	32659467	32666657	-	ENST00000434651	HLA-DQB1	ENSG00000179344
6	havana	32659886	32660440	-	ENST00000460185	HLA-DQB1	ENSG00000179344
6	ensembl_havana	42929480	42939294	+	ENST00000372836	CNPY3	ENSG00000137161
6	ensembl_havana	43014249	43021294	+	ENST00000326974	KLHDC3	ENSG00000124702
6	ensembl_havana	158765741	158818227	-	ENST00000337147	EZR	ENSG00000092820
6	ensembl_havana	158765748	158819368	-	ENST00000367075	EZR	ENSG00000092820
6	ensembl_havana	27808173	27808667	+	ENST00000358739	H2AC13	ENSG00000196747
6	ensembl_havana	26216200	26216688	-	ENST00000541790	H2BC8	ENSG00000273802
6	ensembl_havana	27807479	27807929	-	ENST00000377401	H2BC13	ENSG00000185130
6	ensembl_havana	27838569	27839110	+	ENST00000612898	H2BC15	ENSG00000233822
6	havana	26199516	26199988	+	ENST00000356530	H2BC7	ENSG00000277224
6	ensembl_havana	26251614	26252075	+	ENST00000619466	H2BC9	ENSG00000275713
6	ensembl_havana	26123467	26123926	-	ENST00000396984	H2BC4	ENSG00000180596
6	ensembl_havana	26270918	26271413	-	ENST00000614378	H3C8	ENSG00000273983
6	ensembl_havana	26026896	26027283	-	ENST00000377745	H4C2	ENSG00000278705
6	ensembl_havana	26204610	26205021	+	ENST00000615164	H4C5	ENSG00000276966
6	ensembl_havana	26158122	26158607	+	ENST00000377777	H2BC5	ENSG00000158373
6	ensembl_havana	26158146	26171349	+	ENST00000289316	H2BC5	ENSG00000158373
6	ensembl_havana	27132316	27132795	-	ENST00000339812	H2BC11	ENSG00000124635
6	ensembl_havana	27133043	27133535	+	ENST00000359193	H2AC11	ENSG00000196787
6	ensembl_havana	27146361	27146855	-	ENST00000356950	H2BC12	ENSG00000197903
6	ensembl_havana	27147106	27147562	+	ENST00000377459	H2AC12	ENSG00000274997
6	havana	36678714	36687332	+	ENST00000244741	CDKN1A	ENSG00000124762
6	ensembl_havana	36968141	36986196	-	ENST00000373627	MTCH1	ENSG00000137409
6	havana	31730599	31736530	-	ENST00000375784	CLIC1	ENSG00000213719
6	ensembl_havana	31353875	31357179	-	ENST00000412585	HLA-B	ENSG00000234745
6	havana	31355122	31355802	-	ENST00000463574	HLA-B	ENSG00000234745
6	ensembl_havana	122443351	122471807	-	ENST00000339697	SERINC1	ENSG00000111897
6	ensembl_havana	137197485	137219385	-	ENST00000367739	IFNGR1	ENSG00000027697
6	ensembl_havana	32840717	32844047	-	ENST00000374882	PSMB8	ENSG00000204264
6	ensembl_havana	144094884	144095573	-	ENST00000367569	SF3B5	ENSG00000169976
